"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"38";2;5;6;9;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"39";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36
"40";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"41";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"42";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;63;63;63;63;63;63;63;63;63
"43";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"44";2;5;6;9;11;13;15;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
"45";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;67;67;67;67;67;67;67
"46";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;77;77
"47";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"48";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"49";2;5;6;9;11;13;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16
"50";2;5;6;9;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"51";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"52";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48
"53";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48
"54";2;5;6;9;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"55";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"56";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;67;67;67;67;67;67;67
"57";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"58";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;60;60;60;60;60;60;60;60;60;60
"59";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
"60";2;5;6;9;11;13;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
"61";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"62";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;60;60;60;60;60;60;60;60;60;60
"63";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;67;67;67;67;67;67;67
"64";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"65";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;78
"66";2;5;6;9;11;13;15;17;18;21;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23
"67";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"68";2;5;6;9;11;13;15;17;18;21;22;25;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"69";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"70";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"71";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"72";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"73";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"74";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"75";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"76";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;67;67;67;67;67;67;67
"77";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;58;58;58;58;58;58;58;58;58;58;58
"78";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;58;58;58;58;58;58;58;58;58;58;58
"79";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"80";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"81";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;66;66;66;66;66;66;66
"82";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"83";2;5;6;9;11;13;15;17;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
"84";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;67;67;67;67;67;67;67
"85";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"86";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48
"87";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"88";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38
"89";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"90";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;74;74;74
"91";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48
"92";2;5;6;9;11;13;15;17;18;21;22;25;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"93";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"94";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"95";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"96";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;67;67;67;67;67;67;67
"97";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"98";2;5;6;9;11;13;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
"99";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;67;67;67;67;67;67;67
"100";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"101";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;66;66;66;66;66;66;66
"102";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"103";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"104";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"105";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38
"106";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"107";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"108";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48
"109";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"110";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;52;52;52;52;52;52;52;52;52;52;52;52;52;52
"111";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48
"112";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"113";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"114";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"115";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"116";2;5;6;9;11;13;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
"117";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;77;77
"118";2;5;6;9;11;13;15;17;18;21;22;25;26;29;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
"119";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36
"120";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
