"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"101";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"102";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"103";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"104";2;5;6;8;11;13;13;13;13;13;13;13;13;13
"105";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"106";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"107";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"108";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"109";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"110";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"111";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"112";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"113";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"114";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"115";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"116";2;5;7;7;7;7;7;7;7;7;7;7;7;7
"117";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"118";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"119";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"120";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"121";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"122";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"123";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"124";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"125";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"126";2;5;6;8;10;10;10;10;18;18;18;18;18;18
"127";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"128";2;5;6;8;11;13;13;13;13;13;13;13;13;13
"129";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"130";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"131";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"132";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"133";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"134";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"135";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"136";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"137";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"138";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"139";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"140";2;5;6;8;11;12;14;17;17;17;22;22;22;22
"141";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"142";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"143";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"144";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"145";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"146";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"147";2;5;6;8;11;12;14;16;16;16;16;16;16;16
"148";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"149";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"150";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"151";2;4;4;4;4;4;4;4;4;4;4;4;4;4
"152";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"153";2;5;6;8;11;12;14;17;17;17;23;23;27;27
"154";2;5;6;8;10;10;10;10;19;20;20;20;20;29
"155";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"156";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"157";2;5;6;8;11;12;15;15;15;15;15;24;24;24
"158";2;5;6;8;11;12;14;17;17;17;23;23;26;26
"159";2;5;6;8;10;10;10;10;18;18;18;18;18;18
"160";2;5;6;8;11;12;15;15;15;15;15;25;25;25
"161";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"162";2;5;6;8;10;10;10;10;19;21;21;21;21;21
"163";2;5;6;8;10;10;10;10;19;20;20;20;20;28
"164";2;5;6;8;11;12;14;17;17;17;22;22;22;22
