on;18;18;40;0;36;0
and;9;0;40;0;36;27
of;36;27;40;9;0;2
the;36;27;0;9;0;20
by;9;0;40;0;0;29
2;0;27;0;0;0;0
with;0;9;40;0;18;0
in;0;0;40;0;0;0
0;0;27;0;9;0;0
a;18;0;0;0;0;0
to;0;0;0;0;0;27
behind;0;0;0;0;0;18
r;18;0;0;0;0;0
make;18;0;0;0;0;0
from;9;0;0;0;0;0
an;0;0;0;9;0;0
3;0;0;0;9;0;0
1;0;0;0;9;0;0
instead;9;0;0;0;0;0
for;0;9;0;0;0;0
9;0;0;0;9;0;0
