"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"classe 1";-2,82473283502979;-0,493561793757356;0,101941948488755;-0,00450682563781233;-0,114738792066567;-0,983666566609048;-0,171874744773724;0,0354996002523945;-0,00156942760974623;-0,0399558897214431;0,976317278874236;0,0225288865258574;0,000730872843222763;1,07882233406611e-06;0,000421882934349311;0,862952617308135;0,0263460348285136;0,00112392687068083;2,19671495253494e-06;0,00142381230094998;0,108151411976767;2,51426973174567;0,683684805396581
"classe 2";-0,0502821288494396;1,70785812966078;-3,35419616989338;-0,332841381925077;-0,360237160744508;-0,0132456789613711;0,449896235793654;-0,883586408461371;-0,0876794636766421;-0,09489625619204;0,000288756805046875;0,251784469263889;0,738552848873728;0,00549226830546943;0,00388165675186701;0,000164063041067225;0,189272285739973;0,730063038362763;0,00718882774064924;0,00842093792948721;0,0648908471860605;2,60242078715365;0,439479359283928
"classe 3";0,378032751887162;-0,0235569073854771;0,192608697043841;1,2851281380091;-0,369288183293105;0,269440473543669;-0,0167900380310483;0,137280641111255;0,915967022277536;-0,263207837108979;0,15579651213042;0,00045725226452026;0,0232461163716381;0,781562903850615;0,0389372153828061;0,0481419060368433;0,000186939455943378;0,0124973004841958;0,556361783479835;0,0459404502748063;0,336871620268376;0,842326645399813;0,239015190594822
"classe 4";0,0053773276779205;0,293992486366779;-0,418949715498428;1,27015455539818;6,89630853993174;0,000764807462144207;0,0418140126202229;-0,0595864503463363;0,18065175496626;0,980849326747424;2,17047749372242e-06;0,00490360169217197;0,0075726141468706;0,052566325599539;0,934955288083926;5,73332594155269e-07;0,0017137445667879;0,00348014571349992;0,0319879765402113;0,942989800984499;0,0198277588624074;3,21010202103519;0,204320196987776
"classe 5";0,524550351770991;-1,00979625564703;-0,139402207495333;-0,913550576087986;0,0574219875950008;0,357561928215667;-0,688331816107042;-0,0950240943338711;-0,622725548473492;0,039141936588403;0,193747248305108;0,542686640598444;0,00786502714177846;0,255093015026235;0,000608068928434049;0,0872907000449076;0,323490196079177;0,00616499762067736;0,264763920214696;0,00104604424202422;0,317244141798518;1,04809195556853;0,348491657874364
"classe 6";0,097350705947292;1,73195296549194;1,26967565044599;-0,955487464665208;0,0341983485503222;0,0413777567253349;0,736145955681601;0,539660495247769;-0,406118553351115;0,0145356002604602;0,00263263111574538;0,629802569024114;0,257393234253258;0,110086479772822;8,50858340603079e-05;0,00145014023645207;0,458990799329604;0,246670590948184;0,139695295309656;0,000178954268232918;0,153014219907871;1,66868390401954;0,426069009063068
