"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"artgerm";0,301223030915865;0,894425940156645;0,939822012652689;0,659579596233962;-0,459219235421787;0,193636456901123;0,574967556384373;0,604149702944128;0,42400030193804;-0,295201815802573;0,0626993547334158;0,417826456866166;0,350814628536535;0,130494841875906;0,038164717987977;0,00121755779325603;0,0107349990151175;0,0118523498570517;0,00583777915731354;0,00282978460127215;0,0134187863008211;1,05800230786331;0,015020571838725
"shirt";0,508745730830647;-0,641794721671103;0,053001881875414;0,420482675784794;-0,371399058768729;0,511754784622938;-0,645590713900784;0,0533153695451687;0,422969684350148;-0,373595754836166;0,378044121706833;0,454730051900536;0,00235843145856406;0,112100963570335;0,0527664313637312;0,00393961318175828;0,0062696645948591;4,27596957054848e-05;0,00269121404531758;0,00209958578508444;0,0152213098337673;0,727711955082595;0,00806066821696977
"blue";0,508745730830647;-0,641794721671103;0,053001881875414;0,420482675784794;-0,371399058768729;0,511754784622938;-0,645590713900784;0,0533153695451687;0,422969684350148;-0,373595754836166;0,378044121706833;0,454730051900536;0,00235843145856406;0,112100963570335;0,0527664313637312;0,00393961318175828;0,0062696645948591;4,27596957054848e-05;0,00269121404531758;0,00209958578508444;0,0152213098337673;0,727711955082595;0,00806066821696977
"communism";0,5876587623802;-1,25278040962176;-0,182861980986429;-1,37687539081691;0,0776815787093082;0,299496290455143;-0,638471013206545;-0,0931943646154327;-0,701715176165191;0,0395898881281122;0,145388882386031;0,499402961548621;0,0080914685784352;0,346451334602331;0,000665352884581995;0,00262828503867108;0,0119446089885476;0,000254488915567932;0,0144281718385369;4,59259466231278e-05;0,00761065491688364;1,35546901291834;0,0139830277006428
"armor";0,5876587623802;-1,25278040962176;-0,182861980986429;-1,37687539081691;0,0776815787093082;0,299496290455143;-0,638471013206545;-0,0931943646154327;-0,701715176165191;0,0395898881281122;0,145388882386031;0,499402961548621;0,0080914685784352;0,346451334602331;0,000665352884581995;0,00262828503867108;0,0119446089885476;0,000254488915567932;0,0144281718385369;4,59259466231278e-05;0,00761065491688364;1,35546901291834;0,0139830277006428
"propaganda";0,342543446162392;0,13251813767957;0,190355645855868;2,06164149664967;2,06337127276102;0,116273526141254;0,0449821805622024;0,0646146420622645;0,699807073059417;0,700394231185356;0,0377106266218481;0,00426582968752992;0,0066936606941594;0,592967533402297;0,358362349594165;0,00119850523491872;0,000179373902967582;0,000370117938587911;0,0434145100532953;0,0434873926441073;0,010214300020028;1,55136419834258;0,0245830712338986
"poster";0,342543446162392;0,13251813767957;0,190355645855868;2,06164149664967;2,06337127276102;0,116273526141254;0,0449821805622024;0,0646146420622645;0,699807073059417;0,700394231185356;0,0377106266218481;0,00426582968752992;0,0066936606941594;0,592967533402297;0,358362349594165;0,00119850523491872;0,000179373902967582;0,000370117938587911;0,0434145100532953;0,0434873926441073;0,010214300020028;1,55136419834258;0,0245830712338986
"suit";0,5876587623802;-1,25278040962176;-0,182861980986429;-1,37687539081691;0,0776815787093082;0,299496290455143;-0,638471013206545;-0,0931943646154327;-0,701715176165191;0,0395898881281122;0,145388882386031;0,499402961548621;0,0080914685784352;0,346451334602331;0,000665352884581995;0,00262828503867108;0,0119446089885476;0,000254488915567932;0,0144281718385369;4,59259466231278e-05;0,00761065491688364;1,35546901291834;0,0139830277006428
"digital";0,0687246319631046;2,2572662783592;0,170533618714936;-1,38031882807036;-0,14310647747192;0,0258743588156541;0,849845476947734;0,0642047532990948;-0,519680696968586;-0,0538786202440583;0,00100384984509144;0,818521212192517;0,00355274201586994;0,175782214753721;0,00113998119279974;3,40538156188084e-05;0,0367372397057948;0,000209681903471341;0,0137372486313878;0,000147658862447258;0,0072100941317845;1,90769095791197;0,0262395859147542
"smooth";0,110690188893302;2,26514441997456;1,9042016688237;-1,64895543510313;0,075981447281886;0,0326493555593861;0,66813062928637;0,561666376792709;-0,486378538518533;0,022411609493361;0,00171211875162099;0,541910868066377;0,291233450131066;0,164932279376002;0,000211283674931877;7,11630722210712e-05;0,0298008207604476;0,0210601914422147;0,0157926230285857;3,35313898659024e-05;0,00580813138393751;2,35273039554814;0,0321499837993086
