on;18;40;72;18
and;9;40;72;45
of;36;49;0;47
the;36;9;0;65
by;9;40;0;47
2;0;0;0;27
with;0;40;18;9
in;0;40;0;0
0;0;9;0;27
a;18;0;0;0
5;0;0;0;20
to;0;0;0;27
behind;0;0;0;18
r;18;0;0;0
make;18;0;0;0
k;0;0;0;18
from;9;0;0;0
an;0;9;0;0
8;0;0;0;18
3;0;9;0;0
1;0;9;0;0
instead;9;0;0;0
for;0;0;0;9
9;0;9;0;0
