"";"V1"
"1";4
"2";4
"3";4
"4";4
"5";0
"6";4
"7";3
"8";3
"9";3
"10";3
"11";2
"12";4
"13";3
"14";2
"15";1
"16";2
"17";4
"18";0
"19";1
"20";1
"21";3
"22";4
"23";3
"24";0
"25";4
"26";1
"27";0
"28";2
"29";2
"30";3
"31";0
"32";3
"33";2
"34";3
"35";4
"36";3
"37";4
"38";4
"39";1
"40";0
"41";4
"42";3
"43";2
"44";2
"45";2
"46";3
"47";2
"48";3
"49";4
"50";1
"51";3
"52";4
"53";4
"54";2
"55";2
"56";1
"57";4
"58";3
"59";1
"60";0
"61";3
"62";2
"63";3
"64";1
"65";3
"66";2
"67";3
"68";2
"69";4
"70";4
"71";4
"72";4
"73";1
"74";1
"75";4
"76";1
"77";3
"78";0
"79";3
"80";2
"81";0
"82";0
"83";0
"84";4
"85";0
"86";3
"87";1
"88";4
"89";3
"90";3
"91";4
"92";4
"93";4
"94";3
"95";1
"96";4
"97";2
"98";0
"99";1
"100";2
"101";3
"102";3
"103";2
"104";0
"105";2
"106";3
"107";2
"108";3
"109";2
"110";4
"111";2
"112";2
"113";1
"114";3
"115";4
"116";0
"117";3
"118";1
"119";2
"120";2
"121";3
"122";4
"123";1
"124";2
"125";0
"126";0
"127";3
"128";0
"129";4
"130";2
"131";3
"132";1
"133";1
"134";3
"135";0
"136";4
"137";4
"138";3
"139";0
"140";3
"141";4
"142";2
"143";3
"144";4
"145";4
"146";4
"147";0
"148";4
"149";3
"150";3
"151";0
"152";4
"153";3
"154";4
"155";2
"156";1
"157";2
"158";3
"159";0
"160";2
"161";1
"162";4
"163";4
"164";3
"165";0
"166";4
"167";0
"168";2
"169";2
"170";2
"171";4
"172";3
"173";1
"174";0
"175";2
"176";4
"177";3
"178";2
"179";4
"180";0
"181";2
"182";2
"183";3
"184";3
"185";2
"186";3
"187";2
"188";3
"189";2
"190";1
"191";1
"192";0
"193";3
"194";3
"195";4
"196";0
"197";0
"198";4
"199";4
"200";4
"201";3
"202";4
"203";0
"204";4
"205";4
"206";0
"207";2
"208";0
"209";3
"210";0
"211";2
"212";4
"213";1
"214";3
"215";3
"216";2
"217";2
"218";3
"219";1
"220";4
"221";0
"222";3
"223";1
"224";3
"225";4
"226";4
"227";4
"228";3
"229";0
"230";0
"231";0
"232";0
"233";4
"234";4
"235";1
"236";3
"237";1
"238";2
"239";4
"240";3
"241";0
"242";2
"243";0
"244";4
"245";0
"246";1
"247";0
"248";4
"249";3
"250";3
"251";1
"252";0
"253";0
"254";0
"255";2
"256";2
"257";4
"258";3
"259";3
"260";3
"261";0
"262";3
"263";4
"264";2
"265";4
"266";0
"267";4
"268";1
"269";2
"270";2
"271";4
"272";0
"273";2
"274";4
"275";4
"276";2
"277";3
"278";3
"279";2
"280";1
"281";0
"282";4
"283";2
"284";2
"285";3
"286";3
"287";4
"288";0
"289";0
"290";2
"291";2
"292";1
"293";2
"294";4
"295";0
"296";1
"297";0
