"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";-3,36457734100111;-0,704400193224773;0,0103126559840962;-0,978775350220075;-0,204914161852354;0,00300001231938677;0,96581177649724;0,0341845736350871;3,64986767323519e-06;0,88325466972001;0,0387136254003977;8,29785748605839e-06;0,0780234070221066;3,00844048571556;0,706167554441546
"classe 2";0,263345395627337;0,186193684529146;1,66793291377141;0,155015858462023;0,109601209387905;0,981813454035944;0,0570118400750013;0,0230145909965854;0,919973568928412;0,0178462317824086;0,00892123464966887;0,715899778185752;0,25733275538217;0,969170881471993;0,241710649289899
"classe 3";0,464774965715627;-0,808886454942156;-0,582629426992558;0,422562838872401;-0,735421186464943;-0,529713437343808;0,245213014720995;0,599781350254957;0,155005635024047;0,0977548602432705;0,296092925035284;0,153616453993227;0,452535760728218;0,824761018281183;0,307828734164008
"classe 4";-0,0734479414802687;1,75899014242085;-0,784306531551504;-0,038108767859937;0,912659302009731;-0,406940683966727;0,00196068900220582;0,908104937659134;0,089934373338661;0,00114423825431114;0,656272214914649;0,130475469963535;0,212108076867505;1,45758009530769;0,450632037257646
