"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"invade";-0,0835838692112851;2,22754437178976;-1,40726659303777;-0,0317066755257428;0,844995897916588;-0,533832014056148;0,00145227818780255;0,832947001544892;0,165600720267307;9,08486761031108e-06;0,00645247584953477;0,00257529163053332;0,00130039011703511;1,92732396256461;0,00483040007370059
"impasto";0,29968746110363;0,235791369168722;2,99274094318123;0,0993350100152092;0,0781558825705277;0,991979946271546;0,0240299163747178;0,0120124250992914;0,963957658525991;0,00011679138406078;7,22985302658783e-05;0,0116469419414737;0,00130039011703511;1,69882874075012;0,00375295070272907
"harry";-3,82889413581512;-0,892036088244349;0,0185038064431275;-0,973907621647367;-0,226895995112366;0,00470658040813477;0,95800118619843;0,0419898137276529;9,00007391647253e-06;0,0190642786778666;0,00103475732474679;4,45241681254522e-07;0,00130039011703511;3,43753787857918;0,0153662765496316
"emmanuel";-3,82889413581512;-0,892036088244349;0,0185038064431275;-0,973907621647367;-0,226895995112366;0,00470658040813477;0,95800118619843;0,0419898137276529;9,00007391647253e-06;0,0190642786778666;0,00103475732474679;4,45241681254522e-07;0,00130039011703511;3,43753787857918;0,0153662765496316
"david";-3,82889413581512;-0,892036088244349;0,0185038064431275;-0,973907621647367;-0,226895995112366;0,00470658040813477;0,95800118619843;0,0419898137276529;9,00007391647253e-06;0,0190642786778666;0,00103475732474679;4,45241681254522e-07;0,00130039011703511;3,43753787857918;0,0153662765496316
"creation";-3,82889413581512;-0,892036088244349;0,0185038064431275;-0,973907621647367;-0,226895995112366;0,00470658040813477;0,95800118619843;0,0419898137276529;9,00007391647253e-06;0,0190642786778666;0,00103475732474679;4,45241681254522e-07;0,00130039011703511;3,43753787857918;0,0153662765496316
"cover";-0,0835838692112851;2,22754437178976;-1,40726659303777;-0,0317066755257428;0,844995897916588;-0,533832014056148;0,00145227818780255;0,832947001544892;0,165600720267307;9,08486761031108e-06;0,00645247584953477;0,00257529163053332;0,00130039011703511;1,92732396256461;0,00483040007370059
"closeup";-3,82889413581512;-0,892036088244349;0,0185038064431275;-0,973907621647367;-0,226895995112366;0,00470658040813477;0,95800118619843;0,0419898137276529;9,00007391647253e-06;0,0190642786778666;0,00103475732474679;4,45241681254522e-07;0,00130039011703511;3,43753787857918;0,0153662765496316
"canon";-3,82889413581512;-0,892036088244349;0,0185038064431275;-0,973907621647367;-0,226895995112366;0,00470658040813477;0,95800118619843;0,0419898137276529;9,00007391647253e-06;0,0190642786778666;0,00103475732474679;4,45241681254522e-07;0,00130039011703511;3,43753787857918;0,0153662765496316
"angela";-3,82889413581512;-0,892036088244349;0,0185038064431275;-0,973907621647367;-0,226895995112366;0,00470658040813477;0,95800118619843;0,0419898137276529;9,00007391647253e-06;0,0190642786778666;0,00103475732474679;4,45241681254522e-07;0,00130039011703511;3,43753787857918;0,0153662765496316
"evil";0,29968746110363;0,235791369168722;2,99274094318123;0,0993350100152092;0,0781558825705278;0,991979946271546;0,0240299163747178;0,0120124250992915;0,963957658525991;3,89304613535932e-05;2,40995100886261e-05;0,00388231398049125;0,000433463372345037;1,69882874075012;0,00125098356757636
"on";-0,137535494019663;-0,27218081861685;0,131371802194178;-0,414201610976967;-0,819699193664224;0,395639049349664;NA;NA;NA;NA;NA;NA;NA;0,257218821539317;NA
"and";0,0713736725224169;0,168007600465234;-0,112769310513671;0,332645279691768;0,783018909802459;-0,525574452185942;NA;NA;NA;NA;NA;NA;NA;0,159638392278652;NA
"of";-0,962757160213612;0,637386843837799;0,614916010417107;-0,735962321376205;0,487238860006441;0,470061437276205;NA;NA;NA;NA;NA;NA;NA;1,04235470058636;NA
"the";-1,27796321125586;1,04362915738233;-0,580650209335192;-0,730621865302947;0,596651198512912;-0,331962403374761;NA;NA;NA;NA;NA;NA;NA;1,4300279759668;NA
"by";-0,27501031907418;1,10518661923613;0,559735855338152;-0,216713434596602;0,870908367842969;0,441082647682314;NA;NA;NA;NA;NA;NA;NA;0,957783050131502;NA
"2";-0,0835838692112853;2,22754437178976;-1,40726659303777;-0,0317066755257429;0,844995897916588;-0,533832014056149;NA;NA;NA;NA;NA;NA;NA;1,92732396256461;NA
"with";0,309786667971621;0,164793475468533;1,31682116685011;0,227321279048728;0,120925357658787;0,966282615991173;NA;NA;NA;NA;NA;NA;NA;0,793501795582296;NA
"in";0,29968746110363;0,235791369168722;2,99274094318124;0,0993350100152093;0,0781558825705278;0,991979946271547;NA;NA;NA;NA;NA;NA;NA;1,69882874075012;NA
"0";0,0122339633674435;1,7296061211345;-0,307264708983016;0,00696405635016696;0,98456028757027;-0,174907238439976;NA;NA;NA;NA;NA;NA;NA;1,37652683411186;NA
"a";-3,82889413581512;-0,892036088244348;0,0185038064431282;-0,973907621647367;-0,226895995112366;0,00470658040813493;NA;NA;NA;NA;NA;NA;NA;3,43753787857918;NA
"5";-0,0835838692112853;2,22754437178976;-1,40726659303777;-0,0317066755257429;0,844995897916588;-0,533832014056149;NA;NA;NA;NA;NA;NA;NA;1,92732396256461;NA
"to";-0,0835838692112853;2,22754437178976;-1,40726659303777;-0,0317066755257429;0,844995897916588;-0,533832014056149;NA;NA;NA;NA;NA;NA;NA;1,92732396256461;NA
"behind";-0,0835838692112853;2,22754437178976;-1,40726659303777;-0,0317066755257429;0,844995897916588;-0,533832014056149;NA;NA;NA;NA;NA;NA;NA;1,92732396256461;NA
"r";-3,82889413581512;-0,892036088244348;0,0185038064431282;-0,973907621647367;-0,226895995112366;0,00470658040813493;NA;NA;NA;NA;NA;NA;NA;3,43753787857918;NA
"make";-3,82889413581512;-0,892036088244348;0,0185038064431282;-0,973907621647367;-0,226895995112366;0,00470658040813493;NA;NA;NA;NA;NA;NA;NA;3,43753787857918;NA
"k";-0,0835838692112853;2,22754437178976;-1,40726659303777;-0,0317066755257429;0,844995897916588;-0,533832014056149;NA;NA;NA;NA;NA;NA;NA;1,92732396256461;NA
"from";-3,82889413581512;-0,892036088244348;0,0185038064431282;-0,973907621647367;-0,226895995112366;0,00470658040813493;NA;NA;NA;NA;NA;NA;NA;3,43753787857918;NA
"an";0,29968746110363;0,235791369168722;2,99274094318124;0,0993350100152093;0,0781558825705278;0,991979946271547;NA;NA;NA;NA;NA;NA;NA;1,69882874075012;NA
"8";-0,0835838692112853;2,22754437178976;-1,40726659303777;-0,0317066755257429;0,844995897916588;-0,533832014056149;NA;NA;NA;NA;NA;NA;NA;1,92732396256461;NA
"3";0,29968746110363;0,235791369168722;2,99274094318124;0,0993350100152093;0,0781558825705278;0,991979946271547;NA;NA;NA;NA;NA;NA;NA;1,69882874075012;NA
"1";0,29968746110363;0,235791369168722;2,99274094318124;0,0993350100152093;0,0781558825705278;0,991979946271547;NA;NA;NA;NA;NA;NA;NA;1,69882874075012;NA
"instead";-3,82889413581512;-0,892036088244348;0,0185038064431282;-0,973907621647367;-0,226895995112366;0,00470658040813493;NA;NA;NA;NA;NA;NA;NA;3,43753787857918;NA
"for";-0,0835838692112853;2,22754437178976;-1,40726659303777;-0,0317066755257429;0,844995897916588;-0,533832014056149;NA;NA;NA;NA;NA;NA;NA;1,92732396256461;NA
"9";0,29968746110363;0,235791369168722;2,99274094318124;0,0993350100152093;0,0781558825705278;0,991979946271547;NA;NA;NA;NA;NA;NA;NA;1,69882874075012;NA
"*var_1";-0,360751471408387;0,301871163905669;0,0157066906889125;-0,76649090835438;0,641387550616851;0,0333721039761389;NA;NA;NA;NA;NA;NA;NA;0,396724735376732;NA
