"";"X";"V1"
"1";1;4
"2";2;4
"3";3;4
"4";4;4
"5";5;0
"6";6;4
"7";7;3
"8";8;3
"9";9;3
"10";10;3
"11";11;2
"12";12;4
"13";13;3
"14";14;2
"15";15;1
"16";16;2
"17";17;4
"18";18;0
"19";19;1
"20";20;1
"21";21;3
"22";22;4
"23";23;3
"24";24;0
"25";25;4
"26";26;1
"27";27;0
"28";28;2
"29";29;2
"30";30;3
"31";31;0
"32";32;3
"33";33;2
"34";34;3
"35";35;4
"36";36;3
"37";37;4
"38";38;4
"39";39;1
"40";40;0
"41";41;4
"42";42;3
"43";43;2
"44";44;2
"45";45;2
"46";46;3
"47";47;2
"48";48;3
"49";49;4
"50";50;1
"51";51;3
"52";52;4
"53";53;4
"54";54;2
"55";55;2
"56";56;1
"57";57;4
"58";58;3
"59";59;1
"60";60;0
"61";61;3
"62";62;2
"63";63;3
"64";64;1
"65";65;3
"66";66;2
"67";67;3
"68";68;2
"69";69;4
"70";70;4
"71";71;4
"72";72;4
"73";73;1
"74";74;1
"75";75;4
"76";76;1
"77";77;3
"78";78;0
"79";79;3
"80";80;2
"81";81;0
"82";82;0
"83";83;0
"84";84;4
"85";85;0
"86";86;3
"87";87;1
"88";88;4
"89";89;3
"90";90;3
"91";91;4
"92";92;4
"93";93;4
"94";94;3
"95";95;1
"96";96;4
"97";97;2
"98";98;0
"99";99;1
"100";100;2
"101";101;3
"102";102;3
"103";103;2
"104";104;0
"105";105;2
"106";106;3
"107";107;2
"108";108;3
"109";109;2
"110";110;4
"111";111;2
"112";112;2
"113";113;1
"114";114;3
"115";115;4
"116";116;0
"117";117;3
"118";118;1
"119";119;2
"120";120;2
"121";121;3
"122";122;4
"123";123;1
"124";124;2
"125";125;0
"126";126;0
"127";127;3
"128";128;0
"129";129;4
"130";130;2
"131";131;3
"132";132;1
"133";133;1
"134";134;3
"135";135;0
"136";136;4
"137";137;4
"138";138;3
"139";139;0
"140";140;3
"141";141;4
"142";142;2
"143";143;3
"144";144;4
"145";145;4
"146";146;4
"147";147;0
"148";148;4
"149";149;3
"150";150;3
"151";151;0
"152";152;4
"153";153;3
"154";154;4
"155";155;2
"156";156;1
"157";157;2
"158";158;3
"159";159;0
"160";160;2
"161";161;1
"162";162;4
"163";163;4
"164";164;3
"165";165;0
"166";166;4
"167";167;0
"168";168;2
"169";169;2
"170";170;2
"171";171;4
"172";172;3
"173";173;1
"174";174;0
"175";175;2
"176";176;4
"177";177;3
"178";178;2
"179";179;4
"180";180;0
"181";181;2
"182";182;2
"183";183;3
"184";184;3
"185";185;2
"186";186;3
"187";187;2
"188";188;3
"189";189;2
"190";190;1
"191";191;1
"192";192;0
"193";193;3
"194";194;3
"195";195;4
"196";196;0
"197";197;0
"198";198;4
"199";199;4
"200";200;4
"201";201;3
"202";202;4
"203";203;0
"204";204;4
"205";205;4
"206";206;0
"207";207;2
"208";208;0
"209";209;3
"210";210;0
"211";211;2
"212";212;4
"213";213;1
"214";214;3
"215";215;3
"216";216;2
"217";217;2
"218";218;3
"219";219;1
"220";220;4
"221";221;0
"222";222;3
"223";223;1
"224";224;3
"225";225;4
"226";226;4
"227";227;4
"228";228;3
"229";229;0
"230";230;0
"231";231;0
"232";232;0
"233";233;4
"234";234;4
"235";235;1
"236";236;3
"237";237;1
"238";238;2
"239";239;4
"240";240;3
"241";241;0
"242";242;2
"243";243;0
"244";244;4
"245";245;0
"246";246;1
"247";247;0
"248";248;4
"249";249;3
"250";250;3
"251";251;1
"252";252;0
"253";253;0
"254";254;0
"255";255;2
"256";256;2
"257";257;4
"258";258;3
"259";259;3
"260";260;3
"261";261;0
"262";262;3
"263";263;4
"264";264;2
"265";265;4
"266";266;0
"267";267;4
"268";268;1
"269";269;2
"270";270;2
"271";271;4
"272";272;0
"273";273;2
"274";274;4
"275";275;4
"276";276;2
"277";277;3
"278";278;3
"279";279;2
"280";280;1
"281";281;0
"282";282;4
"283";283;2
"284";284;2
"285";285;3
"286";286;3
"287";287;4
"288";288;0
"289";289;0
"290";290;2
"291";291;2
"292";292;1
"293";293;2
"294";294;4
"295";295;0
"296";296;1
"297";297;0
