"";"";"";"";"masterpiece";""
"1";"masterpiece";"0.528914618491943";"-1.02435506980361";"3";"9"
"2";"hildebrandt";"0.528914618491943";"-1.02435506980361";"3";"10"
"3";"composition";"0.528914618491943";"-1.02435506980361";"3";"12"
"4";"beautiful";"0.528914618491943";"-1.02435506980361";"3";"14"
"5";"armor";"0.522719289913881";"-0.990297057939495";"2.9155037037037";"18"
"6";"keyboard";"0.447047776567546";"-0.574302770170636";"1.88345925925926";"36"
"7";"mouse";"0.447047776567546";"-0.574302770170636";"1.88345925925926";"37"
"8";"computer";"0.447047776567546";"-0.574302770170636";"1.88345925925926";"38"
"9";"lead";"0.447047776567546";"-0.574302770170636";"1.88345925925926";"39"
"10";"influencer";"0.447047776567546";"-0.574302770170636";"1.88345925925926";"41"
"11";"chair";"0.447047776567546";"-0.574302770170636";"1.88345925925926";"45"
"12";"hybrid";"0.447047776567546";"-0.574302770170636";"1.88345925925926";"46"
"13";"michelangelo";"-3.82889413581512";"-0.892036088244349";"1.28653497942387";"81"
"14";"commission";"0.528914618491943";"-1.02435506980361";"1.218";"97"
"15";"suite";"0.528914618491943";"-1.02435506980361";"1.218";"98"
