"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"151";3;4;4;4;4;4;4;4;4
"152";3;5;7;9;10;10;10;10;19
"153";3;5;7;9;11;12;15;16;16
"154";3;5;7;9;10;10;10;10;19
"155";3;5;7;9;11;12;14;14;14
"156";2;2;2;2;2;2;2;2;2
"157";3;5;7;9;11;12;14;14;14
"158";3;5;7;9;11;12;15;16;16
"159";3;5;7;9;10;10;10;10;18
"160";3;5;7;9;11;12;14;14;14
"161";2;2;2;2;2;2;2;2;2
"162";3;5;7;9;10;10;10;10;19
"163";3;5;7;9;10;10;10;10;19
"164";3;5;7;9;11;12;15;16;16
"165";3;5;7;9;10;10;10;10;18
"166";3;5;7;9;10;10;10;10;19
"167";3;5;7;9;11;12;15;17;17
"168";3;5;7;9;11;12;14;14;14
"169";3;5;7;9;11;12;14;14;14
"170";3;5;7;9;11;12;14;14;14
"171";3;5;7;9;10;10;10;10;19
"172";3;5;7;9;11;12;15;16;16
"173";2;2;2;2;2;2;2;2;2
"174";3;5;7;8;8;8;8;8;8
"175";3;5;7;9;11;12;14;14;14
"176";3;5;7;9;10;10;10;10;19
"177";3;5;7;9;11;12;15;16;16
"178";3;5;7;9;11;12;14;14;14
"179";3;5;7;9;10;10;10;10;19
"180";3;4;4;4;4;4;4;4;4
"181";3;5;7;9;11;12;14;14;14
"182";3;5;7;9;11;12;14;14;14
"183";3;5;7;9;11;12;15;16;16
"184";3;5;7;9;11;12;15;16;16
"185";3;5;7;9;11;12;14;14;14
"186";3;5;7;9;11;12;15;16;16
"187";3;5;7;9;11;12;14;14;14
"188";3;5;7;9;11;12;15;16;16
"189";3;5;7;9;11;12;14;14;14
"190";2;2;2;2;2;2;2;2;2
"191";2;2;2;2;2;2;2;2;2
"192";3;5;7;8;8;8;8;8;8
"193";3;5;7;9;11;12;15;16;16
"194";3;5;7;9;11;12;15;16;16
"195";3;5;7;9;10;10;10;10;19
"196";3;5;7;9;11;12;15;17;17
"197";3;4;4;4;4;4;4;4;4
"198";3;5;7;9;10;10;10;10;19
"199";3;5;7;9;10;10;10;10;19
"200";3;5;7;9;10;10;10;10;19
"201";3;5;7;9;11;12;15;16;16
"202";3;5;7;9;10;10;10;10;19
"203";3;5;7;9;10;10;10;10;18
"204";3;5;7;9;10;10;10;10;19
"205";3;5;7;9;10;10;10;10;19
"206";3;4;4;4;4;4;4;4;4
"207";3;5;7;9;11;12;14;14;14
"208";3;4;4;4;4;4;4;4;4
"209";3;5;7;9;11;12;15;16;16
"210";3;5;7;9;10;10;10;10;18
"211";3;5;7;9;11;12;14;14;14
"212";3;5;7;9;10;10;10;10;19
"213";2;2;2;2;2;2;2;2;2
"214";3;5;7;9;11;12;15;16;16
"215";3;5;7;9;11;12;15;16;16
"216";3;5;7;9;11;12;14;14;14
"217";3;5;7;9;11;12;14;14;14
"218";3;5;7;9;11;12;15;16;16
"219";2;2;2;2;2;2;2;2;2
"220";3;5;7;9;10;10;10;10;19
"221";3;5;7;9;11;12;15;17;17
"222";3;5;7;9;11;12;15;16;16
"223";2;2;2;2;2;2;2;2;2
"224";3;5;7;9;11;12;15;16;16
"225";3;5;7;9;10;10;10;10;19
"226";3;5;7;9;10;10;10;10;19
"227";3;5;7;9;10;10;10;10;19
"228";3;5;7;9;11;12;15;16;16
"229";3;5;7;9;11;12;15;17;17
"230";3;5;7;9;11;12;15;17;17
"231";3;5;7;9;11;12;15;17;17
"232";3;5;7;9;11;13;13;13;13
"233";3;5;7;9;10;10;10;10;19
"234";3;5;7;9;10;10;10;10;19
"235";2;2;2;2;2;2;2;2;2
"236";3;5;7;9;11;12;15;16;16
"237";2;2;2;2;2;2;2;2;2
"238";3;5;7;9;11;12;14;14;14
"239";3;5;7;9;10;10;10;10;19
"240";3;5;7;9;11;12;15;16;16
"241";3;5;7;9;11;12;15;17;17
"242";3;5;7;9;11;12;14;14;14
"243";3;5;7;9;11;12;15;17;17
"244";3;5;7;9;10;10;10;10;19
"245";3;4;4;4;4;4;4;4;4
"246";2;2;2;2;2;2;2;2;2
"247";3;5;7;8;8;8;8;8;8
"248";3;5;7;9;10;10;10;10;19
"249";3;5;7;9;11;12;15;16;16
"250";3;5;7;9;11;12;15;16;16
"251";2;2;2;2;2;2;2;2;2
"252";3;5;7;9;11;13;13;13;13
"253";3;5;7;9;11;13;13;13;13
"254";3;4;4;4;4;4;4;4;4
"255";3;5;7;9;11;12;14;14;14
"256";3;5;7;9;11;12;14;14;14
"257";3;5;7;9;10;10;10;10;19
"258";3;5;7;9;11;12;15;16;16
"259";3;5;7;9;11;12;15;16;16
"260";3;5;7;9;11;12;15;16;16
"261";3;5;7;9;11;13;13;13;13
"262";3;5;7;9;11;12;15;16;16
"263";3;5;7;9;10;10;10;10;19
"264";3;5;7;9;11;12;14;14;14
"265";3;5;7;9;10;10;10;10;19
"266";3;5;7;9;11;12;15;17;17
"267";3;5;7;9;10;10;10;10;19
"268";2;2;2;2;2;2;2;2;2
"269";3;5;7;9;11;12;14;14;14
"270";3;5;7;9;11;12;14;14;14
"271";3;5;7;9;10;10;10;10;19
"272";3;5;7;9;11;13;13;13;13
"273";3;5;7;9;11;12;14;14;14
"274";3;5;7;9;10;10;10;10;19
"275";3;5;7;9;10;10;10;10;19
"276";3;5;7;9;11;12;14;14;14
"277";3;5;7;9;11;12;15;16;16
"278";3;5;7;9;11;12;15;16;16
"279";3;5;7;9;11;12;14;14;14
"280";2;2;2;2;2;2;2;2;2
"281";3;4;4;4;4;4;4;4;4
"282";3;5;7;9;10;10;10;10;19
"283";3;5;7;9;11;12;14;14;14
"284";3;5;7;9;11;12;14;14;14
"285";3;5;7;9;11;12;15;16;16
"286";3;5;7;9;11;12;15;16;16
"287";3;5;7;9;10;10;10;10;19
"288";3;5;6;6;6;6;6;6;6
"289";3;5;6;6;6;6;6;6;6
"290";3;5;7;9;11;12;14;14;14
"291";3;5;7;9;11;12;14;14;14
"292";2;2;2;2;2;2;2;2;2
"293";3;5;7;9;11;12;14;14;14
"294";3;5;7;9;10;10;10;10;19
"295";3;4;4;4;4;4;4;4;4
"296";2;2;2;2;2;2;2;2;2
"297";3;5;7;9;11;12;15;17;17
