"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"36";"243";"14.81";"****";""
"27";"27";"100.00";"174.656";"quality";"7.116611e-40"
"27";"27";"100.00";"174.656";"high";"7.116611e-40"
"18";"18";"100.00";"111.780";"white";"3.992431e-26"
"18";"18";"100.00";"111.780";"simplistic";"3.992431e-26"
"18";"18";"100.00";"111.780";"professionally";"3.992431e-26"
"18";"18";"100.00";"111.780";"political";"3.992431e-26"
"18";"18";"100.00";"111.780";"mapporn";"3.992431e-26"
"18";"18";"100.00";"111.780";"map";"3.992431e-26"
"18";"18";"100.00";"111.780";"face";"3.992431e-26"
"18";"18";"100.00";"111.780";"background";"3.992431e-26"
" 9";" 9";"100.00";" 53.740";"steve";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"steal";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"star";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"press";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"potter";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"photo";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"parliament";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"nikon";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"natural";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"money";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"michelangelo";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"merkel";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"mccurry";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"macron";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"lazar";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"harry";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"emmanuel";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"david";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"creation";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"closeup";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"canon";"2.288113e-13"
" 9";" 9";"100.00";" 53.740";"angela";"2.288113e-13"
" 9";"11";" 81.82";" 40.987";"portrait";"1.532615e-10"
" 9";"18";" 50.00";" 19.070";"magazine";"1.259959e-05"
" 9";"38";" 23.68";"  2.808";"light";"9.380785e-02"
"*****";"*";"*";"*";"*";"*"
"18";" 18";"100.00";"111.780";"a";"3.992431e-26"
"18";" 18";"100.00";"111.780";"r";"3.992431e-26"
"18";" 18";"100.00";"111.780";"make";"3.992431e-26"
" 9";"  9";"100.00";" 53.740";"from";"2.288113e-13"
" 9";"  9";"100.00";" 53.740";"instead";"2.288113e-13"
"36";"110";" 32.73";" 51.097";"the";"8.790210e-13"
"36";"132";" 27.27";" 35.538";"of";"2.501810e-09"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"61";"243";"25.1";"****";""
"49";" 51";" 96.08";"172.943";"propaganda";"1.683921e-39"
"49";" 51";" 96.08";"172.943";"poster";"1.683921e-39"
"40";" 40";"100.00";"142.860";"villeneuve";"6.306084e-33"
"40";" 40";"100.00";"142.860";"style";"6.306084e-33"
"40";" 40";"100.00";"142.860";"room";"6.306084e-33"
"40";" 40";"100.00";"142.860";"open";"6.306084e-33"
"40";" 40";"100.00";"142.860";"magali";"6.306084e-33"
"40";" 40";"100.00";"142.860";"american";"6.306084e-33"
"18";" 18";"100.00";" 58.001";"nose";"2.619431e-14"
"18";" 18";"100.00";" 58.001";"big";"2.619431e-14"
"40";" 76";" 52.63";" 44.574";"shirt";"2.448654e-11"
"40";" 76";" 52.63";" 44.574";"blue";"2.448654e-11"
"40";" 85";" 47.06";" 33.518";"rutkowski";"7.059204e-09"
"40";" 85";" 47.06";" 33.518";"greg";"7.059204e-09"
"40";" 85";" 47.06";" 33.518";"artgerm";"7.059204e-09"
"49";"121";" 40.50";" 30.373";"flag";"3.564391e-08"
" 9";"  9";"100.00";" 27.885";"impasto";"1.287276e-07"
"40";" 94";" 42.55";" 24.829";"illustration";"6.263614e-07"
"40";" 94";" 42.55";" 24.829";"concept";"6.263614e-07"
"49";"130";" 37.69";" 23.566";"oil";"1.206724e-06"
"40";" 96";" 41.67";" 23.157";"sharp";"1.492639e-06"
"40";" 96";" 41.67";" 23.157";"focus";"1.492639e-06"
"40";"105";" 38.10";" 16.600";"art";"4.615507e-05"
"40";"112";" 35.71";" 12.443";"eu";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"game";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"keyboard";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"mouse";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"computer";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"lead";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"sit";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"influencer";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"gloom";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"extremely";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"dark";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"chair";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"highly";"4.196578e-04"
"40";"112";" 35.71";" 12.443";"hybrid";"4.196578e-04"
"38";"110";" 34.55";"  9.531";"play";"2.020277e-03"
" 3";"  3";"100.00";"  9.063";"evil";"2.608758e-03"
"40";"130";" 30.77";"  4.774";"trend";"2.889135e-02"
"61";"234";" 26.07";"  3.133";"union";"7.674587e-02"
"*****";"*";"*";"*";"*";"*"
"40";" 40";"100.00";"142.860";"in";"6.306084e-33"
"40";" 67";" 59.70";" 58.898";"with";"1.661006e-14"
" 9";"  9";"100.00";" 27.885";"an";"1.287276e-07"
" 9";"  9";"100.00";" 27.885";"3";"1.287276e-07"
" 9";"  9";"100.00";" 27.885";"1";"1.287276e-07"
" 9";"  9";"100.00";" 27.885";"9";"1.287276e-07"
"40";" 96";" 41.67";" 23.157";"by";"1.492639e-06"
"49";"132";" 37.12";" 22.200";"of";"2.456481e-06"
"*";"*";"*";"*";"*";"*"
"**";"classe";"3";"**";"";""
"****";"72";"243";"29.63";"****";""
"72";" 72";"100.00";"243.000";"win";"8.721440e-55"
"72";" 72";"100.00";"243.000";"tim";"8.721440e-55"
"72";" 72";"100.00";"243.000";"studio";"8.721440e-55"
"72";" 72";"100.00";"243.000";"rhads";"8.721440e-55"
"72";" 72";"100.00";"243.000";"render";"8.721440e-55"
"72";" 72";"100.00";"243.000";"photograph";"8.721440e-55"
"72";" 72";"100.00";"243.000";"pennington";"8.721440e-55"
"72";" 72";"100.00";"243.000";"octane";"8.721440e-55"
"72";" 72";"100.00";"243.000";"masterpiece";"8.721440e-55"
"72";" 72";"100.00";"243.000";"hildebrandt";"8.721440e-55"
"72";" 72";"100.00";"243.000";"ghibli";"8.721440e-55"
"72";" 72";"100.00";"243.000";"composition";"8.721440e-55"
"72";" 72";"100.00";"243.000";"bruce";"8.721440e-55"
"72";" 72";"100.00";"243.000";"beautiful";"8.721440e-55"
"72";" 72";"100.00";"243.000";"award";"8.721440e-55"
"72";" 74";" 97.30";"233.667";"ussr";"9.454252e-53"
"72";" 74";" 97.30";"233.667";"communism";"9.454252e-53"
"72";" 74";" 97.30";"233.667";"armor";"9.454252e-53"
"54";" 56";" 96.43";"155.731";"suit";"9.691549e-36"
"72";" 99";" 72.73";"148.823";"cinematic";"3.135002e-34"
"72";"110";" 65.45";"123.709";"play";"9.754593e-29"
"72";"112";" 64.29";"119.673";"eu";"7.460001e-28"
"72";"112";" 64.29";"119.673";"game";"7.460001e-28"
"72";"112";" 64.29";"119.673";"keyboard";"7.460001e-28"
"72";"112";" 64.29";"119.673";"mouse";"7.460001e-28"
"72";"112";" 64.29";"119.673";"computer";"7.460001e-28"
"72";"112";" 64.29";"119.673";"lead";"7.460001e-28"
"72";"112";" 64.29";"119.673";"sit";"7.460001e-28"
"72";"112";" 64.29";"119.673";"influencer";"7.460001e-28"
"72";"112";" 64.29";"119.673";"gloom";"7.460001e-28"
"72";"112";" 64.29";"119.673";"extremely";"7.460001e-28"
"72";"112";" 64.29";"119.673";"dark";"7.460001e-28"
"72";"112";" 64.29";"119.673";"chair";"7.460001e-28"
"72";"112";" 64.29";"119.673";"hybrid";"7.460001e-28"
"72";"130";" 55.38";" 88.936";"oil";"4.077877e-21"
"72";"130";" 55.38";" 88.936";"trend";"4.077877e-21"
"18";" 18";"100.00";" 46.170";"europa";"1.084245e-11"
"18";" 18";"100.00";" 46.170";"commission";"1.084245e-11"
"18";" 18";"100.00";" 46.170";"suite";"1.084245e-11"
"18";" 18";"100.00";" 46.170";"era";"1.084245e-11"
"72";"168";" 42.86";" 45.677";"artstation";"1.394725e-11"
"72";"193";" 37.31";" 26.507";"paint";"2.626282e-07"
"72";"193";" 37.31";" 26.507";"detail";"2.626282e-07"
"54";"121";" 44.63";" 26.002";"flag";"3.410333e-07"
"36";" 76";" 47.37";" 16.689";"shirt";"4.403107e-05"
"36";" 76";" 47.37";" 16.689";"blue";"4.403107e-05"
"72";"234";" 30.77";"  3.935";"union";"4.728488e-02"
"*****";"*";"*";"*";"*";"*"
"72";"148";"48.65";"65.676";"on";"5.315791e-16"
"72";"166";"43.37";"47.460";"and";"5.614546e-12"
"*";"*";"*";"*";"*";"*"
"**";"classe";"4";"**";"";""
"****";"74";"243";"30.45";"****";""
"54";" 54";"100.00";"158.560";"digital";"2.335142e-36"
"47";" 47";"100.00";"133.077";"smooth";"8.697170e-31"
"72";"112";" 64.29";"112.287";"highly";"3.091693e-26"
"65";"105";" 61.90";" 86.359";"art";"1.500347e-20"
"29";" 29";"100.00";" 75.205";"mucha";"4.243371e-18"
"29";" 29";"100.00";" 75.205";"alphonse";"4.243371e-18"
"27";" 27";"100.00";" 69.370";"symmetrical";"8.162355e-17"
"27";" 27";"100.00";" 69.370";"surprise";"8.162355e-17"
"27";" 27";"100.00";" 69.370";"realistic";"8.162355e-17"
"27";" 27";"100.00";" 69.370";"guard";"8.162355e-17"
"27";" 27";"100.00";" 69.370";"discover";"8.162355e-17"
"27";" 27";"100.00";" 69.370";"budapest";"8.162355e-17"
"27";" 27";"100.00";" 69.370";"border";"8.162355e-17"
"27";" 27";"100.00";" 69.370";"army";"8.162355e-17"
"54";" 94";" 57.45";" 52.745";"illustration";"3.798014e-13"
"54";" 94";" 57.45";" 52.745";"concept";"3.798014e-13"
"20";" 20";"100.00";" 49.772";"unreal";"1.726778e-12"
"29";" 38";" 76.32";" 44.736";"light";"2.254725e-11"
"18";" 18";"100.00";" 44.397";"tree";"2.681309e-11"
"18";" 18";"100.00";" 44.397";"street";"2.681309e-11"
"18";" 18";"100.00";" 44.397";"maxence";"2.681309e-11"
"18";" 18";"100.00";" 44.397";"goddess";"2.681309e-11"
"18";" 18";"100.00";" 44.397";"fight";"2.681309e-11"
"18";" 18";"100.00";" 44.397";"engine";"2.681309e-11"
"18";" 18";"100.00";" 44.397";"edgar";"2.681309e-11"
"45";" 85";" 52.94";" 31.216";"rutkowski";"2.308040e-08"
"45";" 85";" 52.94";" 31.216";"greg";"2.308040e-08"
"45";" 85";" 52.94";" 31.216";"artgerm";"2.308040e-08"
"47";" 96";" 48.96";" 25.660";"sharp";"4.070961e-07"
"47";" 96";" 48.96";" 25.660";"focus";"4.070961e-07"
" 9";"  9";"100.00";" 21.345";"time";"3.837011e-06"
" 9";"  9";"100.00";" 21.345";"tank";"3.837011e-06"
" 9";"  9";"100.00";" 21.345";"invade";"3.837011e-06"
" 9";"  9";"100.00";" 21.345";"cover";"3.837011e-06"
"72";"193";" 37.31";" 20.799";"detail";"5.099706e-06"
"74";"234";" 31.62";"  4.092";"union";"4.307647e-02"
" 9";" 18";" 50.00";"  3.507";"magazine";"6.110129e-02"
"56";"168";" 33.33";"  2.133";"artstation";"1.441856e-01"
"63";"193";" 32.64";"  2.124";"paint";"1.450320e-01"
"*****";"*";"*";"*";"*";"*"
"65";"110";" 59.09";"77.828";"the";"1.124352e-18"
"27";" 27";"100.00";"69.370";"2";"8.162355e-17"
"27";" 27";"100.00";"69.370";"to";"8.162355e-17"
"20";" 20";"100.00";"49.772";"5";"1.726778e-12"
"18";" 18";"100.00";"44.397";"behind";"2.681309e-11"
"18";" 18";"100.00";"44.397";"k";"2.681309e-11"
"18";" 18";"100.00";"44.397";"8";"2.681309e-11"
"27";" 36";" 75.00";"39.598";"0";"3.119653e-10"
"47";" 96";" 48.96";"25.660";"by";"4.070961e-07"
" 9";"  9";"100.00";"21.345";"for";"3.837011e-06"
"47";"132";" 35.61";" 3.624";"of";"5.696651e-02"
"*";"*";"*";"*";"*";"*"
